Date,Individuals,Samsung,Igalia,Microsoft,Nvidia,Unknown,Intel,LGE,Opera,ByteDance,Tencent,Brave,Vewd,Naver,Huawei,Netflix,Yandex,ARM,Loongson,Szeged,Meta,Sony,Hyperconnect,Alibaba,UC Santa Barbara,Accenture,Slack,Akamai,Mobica,Amazon,Xiaomi,Mozilla,Qt,AMD
2024Q2,26,1,53,164,2,5,113,6,75,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024Q3,14,2,20,104,1,9,67,7,37,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Q1,60,3,85,64,0,13,108,0,69,2,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024Q1,52,2,79,225,0,18,96,0,90,4,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Q4,70,3,59,117,0,9,107,0,87,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Q3,81,12,37,65,0,4,34,6,54,10,2,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023Q2,75,7,26,103,0,4,60,0,47,11,0,0,1,1,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022Q4,63,3,61,76,0,9,62,3,70,4,0,0,1,4,4,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2022Q3,45,11,122,92,0,8,59,5,13,2,0,0,1,3,4,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
2022Q2,40,6,119,136,0,6,33,2,4,1,13,1,1,3,1,0,1,2,0,0,3,0,0,0,37,19,0,0,0,0,0,0,0,0
2022Q1,78,0,119,138,0,11,38,2,4,0,3,0,1,0,4,0,2,0,0,3,6,0,0,0,48,26,0,0,0,0,0,0,0,0
2021Q4,51,5,107,152,0,8,41,4,3,3,0,0,3,2,11,0,3,0,0,2,0,0,0,0,1,27,0,0,0,0,0,0,0,0
2021Q3,45,9,121,186,0,2,45,1,45,7,0,0,0,1,4,0,1,1,0,4,12,0,0,0,0,4,1,0,0,0,0,0,0,0
2021Q2,64,2,146,187,0,4,44,4,86,0,0,0,0,1,3,0,1,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
2021Q1,53,1,166,186,0,4,37,0,75,3,0,0,0,1,3,0,1,9,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0
2020Q4,56,13,152,170,0,1,37,3,99,3,0,0,3,1,0,0,1,3,0,0,11,0,0,0,1,0,0,0,1,0,0,0,0,0
2020Q3,66,30,219,168,0,1,61,2,58,0,0,0,0,6,0,0,2,6,0,0,14,0,0,1,0,0,0,0,0,1,1,0,0,0
2020Q2,60,14,409,189,1,2,46,10,45,0,0,0,6,2,0,0,1,7,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0
2020Q1,48,17,358,213,0,3,40,6,98,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0
2019Q4,36,17,503,258,0,7,84,8,97,0,0,0,1,0,0,0,5,1,0,0,7,0,0,0,0,0,0,0,0,0,6,1,0,0
2019Q3,59,18,618,264,0,3,76,5,147,0,0,0,3,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0
2019Q2,31,10,484,151,0,6,67,9,21,0,0,0,0,0,0,0,2,5,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0
2019Q1,43,39,467,53,0,3,33,0,93,0,0,0,1,1,0,0,2,3,0,0,7,0,0,0,0,0,0,0,0,2,0,0,2,1
2018Q4,7,10,12,2,0,1,22,3,23,0,0,0,1,0,0,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0